label	video	trace	time_0	time_10	time_20	time_30	time_40	time_50	time_60	time_70	time_80	time_90	time_100	time_110	time_120	time_130	time_140	time_150	time_160	time_170	time_180	time_190	time_200	time_210	time_220	time_230	time_240	time_250	time_260	time_270	time_280	time_290	time_300	time_310	time_320	time_330	time_340	time_350	time_360	time_370	time_380	time_390	time_400	time_410	time_420	time_430	time_440	time_450	time_460	time_470	time_480	time_490	time_500	time_510	time_520	time_530	time_540	time_550	time_560	time_570	time_580	time_590	time_600
X31	002001	trace_125	108.444	110.681	110.847	111.618	113.493	113.84	113.083	113.25	113.319	112.59	113.875	115.125	114.465	118.167	117.91	118.764	113.438	111.896	112.007	112.41	112.819	112.062	113.278	113.84	113.882	114.542	114.59	114.354	113.597	116.549	117.278	117.542	120.09	119.292	119.271	117.91	116.208	114.146	115.333	116.743	116.104	117.75	116.451	116.438	117.618	116.583	119.59	120.944	116.132	113.722	113.625	115.028	115.84	116.688	115.188	117.257	117.354	118.833	117.632	118.0	118.701
X31	002001	trace_126	108.062	107.944	107.972	106.91	107.354	107.924	106.938	107.604	106.958	107.111	107.694	107.639	107.917	108.458	108.16	107.528	106.757	108.271	107.549	107.604	106.889	107.618	107.319	107.236	108.188	109.09	107.688	107.861	107.25	109.431	107.667	108.66	108.681	108.278	108.264	108.007	107.34	108.118	107.875	108.354	108.729	107.861	107.694	107.16	107.66	107.472	107.778	107.861	108.424	108.188	107.576	107.569	108.722	108.097	108.556	109.326	108.083	107.931	108.521	108.493	108.396
X31	002001	trace_127	109.021	111.16	112.396	115.174	114.486	114.417	114.528	116.812	115.028	115.611	112.743	113.222	113.479	112.674	114.326	112.312	110.007	110.354	110.743	110.118	110.84	109.979	110.826	111.278	113.229	114.896	114.924	117.021	118.188	117.729	118.965	116.354	115.139	113.236	111.257	110.299	110.34	110.486	110.604	110.194	111.306	111.611	111.646	110.312	110.66	111.319	110.424	110.708	110.076	109.958	110.771	110.111	110.875	109.653	110.208	110.667	110.924	112.09	113.139	113.979	112.382
X31	002001	trace_128	107.09	107.674	108.674	107.632	108.451	108.049	108.049	107.84	108.174	107.118	107.556	108.819	108.438	108.812	107.41	107.188	108.049	109.292	108.368	107.778	107.958	107.611	107.028	107.771	108.264	107.986	107.667	107.694	108.076	108.604	107.222	108.007	108.736	106.917	107.924	108.139	108.771	108.049	108.236	108.854	107.583	107.944	108.688	108.167	107.896	107.854	108.111	107.792	107.382	108.84	108.271	108.264	108.243	108.41	107.743	108.167	108.035	107.688	107.34	107.229	107.917
X31	002001	trace_129	108.854	109.458	109.618	109.882	110.472	108.951	110.403	109.417	110.514	109.257	107.868	109.056	108.979	108.653	108.611	109.576	109.701	110.104	109.833	108.924	109.292	109.549	109.361	109.326	110.076	109.188	109.597	109.146	109.243	108.944	109.181	110.611	109.75	108.778	110.576	110.146	109.507	109.632	110.354	109.965	109.611	109.812	110.257	109.368	109.694	110.257	110.576	109.84	110.521	110.243	110.194	111.194	110.424	110.431	110.556	110.153	109.403	109.306	109.84	111.562	111.056
X31	002001	trace_130	104.833	105.417	105.347	104.986	105.444	105.368	105.812	105.722	106.069	105.729	105.09	105.764	105.5	105.632	106.236	105.438	105.208	105.903	106.285	106.479	105.882	105.306	105.604	106.097	107.34	106.097	105.59	105.785	106.069	106.75	106.826	107.083	106.632	106.438	106.736	106.819	106.417	106.007	106.979	107.34	107.111	107.542	107.194	106.389	106.514	107.5	106.139	106.715	106.688	107.278	106.007	107.042	107.312	107.556	107.34	107.667	107.91	108.076	107.812	107.312	108.111
X31	002001	trace_131	106.847	107.576	107.125	107.889	107.118	107.833	106.604	108.375	107.681	107.542	108.326	107.25	107.812	106.951	107.035	107.458	108.167	107.076	107.431	107.632	106.549	106.333	107.285	106.764	107.486	107.201	107.764	107.472	106.736	108.444	107.576	107.646	107.743	107.729	107.618	107.472	108.243	107.528	107.333	107.632	108.222	108.59	107.715	108.278	108.049	108.757	108.028	109.278	108.125	108.451	107.951	108.722	109.34	108.431	108.889	108.778	107.646	107.681	107.91	107.597	108.299
X31	002001	trace_132	105.118	106.889	105.778	107.181	107.285	107.16	106.264	107.16	106.778	107.09	106.306	106.368	107.632	107.326	105.771	106.993	106.688	106.611	106.111	105.368	106.868	106.868	106.569	107.153	108.188	109.243	107.069	107.41	106.701	106.528	105.743	105.792	107.139	107.285	107.861	107.042	107.694	108.569	106.681	106.604	107.542	107.854	108.278	108.319	107.681	106.312	105.812	106.396	106.986	107.16	108.097	108.597	107.958	107.5	108.667	107.875	106.479	105.958	106.174	105.896	106.34
X31	002001	trace_133	105.646	105.465	105.632	106.472	106.201	105.674	105.931	105.701	106.09	106.958	106.312	105.132	105.903	106.326	105.701	106.014	106.354	106.431	106.938	107.25	106.979	106.396	107.931	106.618	106.174	106.257	106.799	106.576	106.229	106.896	106.924	105.806	106.514	106.528	106.236	106.41	106.674	106.688	106.097	105.653	106.667	106.778	106.507	107.84	107.792	106.34	107.16	107.125	106.972	107.125	107.951	107.243	107.021	106.194	107.021	106.549	106.646	106.694	107.667	107.076	106.326
X31	002001	trace_134	107.153	108.312	108.722	109.062	108.083	108.09	108.104	108.875	108.729	108.958	109.361	109.396	108.125	108.576	109.583	109.188	110.576	109.708	109.465	108.146	109.167	109.812	109.208	108.542	108.938	108.201	108.604	108.889	108.125	109.375	108.875	108.396	109.264	107.396	108.153	108.042	108.465	108.021	107.847	108.014	108.021	108.653	108.319	107.431	107.0	107.493	108.042	108.264	107.882	107.41	108.299	108.285	108.271	109.729	108.729	109.25	109.167	108.674	108.625	107.688	107.146
